problem,grid,noise,sigma,seed,method,coefficient_error,coefficient_linf,support_valid,support_exact,tp,fp,fn,precision,recall,f1,tpr,optimizer_success,status,iterations,fit_seconds,total_seconds,w,selected_terms
burgers,256×256,0.0,0.0,0,WSINDy,4.308458611002042e-05,4.308458611002042e-05,True,True,1,0,0,1.0,1.0,1.0,1.0,True,MSTLS support stable,4,0.00664350000442937,0.03303541598143056,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.499978457706945, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[9]
burgers,256×256,0.0,0.0,0,WENDy HT,1.07207369243221,1.0,True,False,0,1,1,0.0,0.0,0.0,0.0,True,IRLS step tolerance,1,0.0013540840009227395,0.02774599997792393,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.19322396461440355, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[26]
burgers,256×256,0.0,0.0,0,WENDy L1=1e-10,139350126459529.2,0.7269443651312699,True,False,1,28,0,0.034482758620689655,1.0,0.06666666666666667,0.034482758620689655,True,IRLS step tolerance,2,0.01802049996331334,0.04441241594031453,"[0.012077353443180361, -0.5846709355229871, 0.002110862938584071, 0.0, -3.369230201659462e-09, 0.0, 1.843017399601888e-15, 0.0, 32.31141251758943, -0.863472182565635, 0.0, 1.0029281818080747e-06, 0.0, -6.717042549815557e-13, 0.0, -86261.46553877034, 405.0383240611093, -0.444297177597704, 0.0, 0.0, 1.254797203000231e-10, 0.0, -11655833.74842118, 0.0, 26.03477517667854, 0.02671384739521705, 0.0, -4.11063936696351e-08, 0.0, -1543114469.2744474, 0.0, 3175.9508469803272, 0.0, 0.0, -1.6406203821121104e-06, 0.0, -1014064767005.8265, 2763502121.051982, -1445443.6988236497, 0.0, 0.0, -0.00030479306959376904, 0.0, 69662324567123.63, -864079024949.7891, 1430067567.8323412, 0.0, -893.5239281665598, 0.2575681575507682]","[0, 1, 2, 4, 6, 8, 9, 11, 13, 15, 16, 17, 20, 22, 24, 25, 27, 29, 31, 34, 36, 37, 38, 41, 43, 44, 45, 47, 48]"
burgers,256×256,0.0,0.0,0,WENDy L1=1e-08,4156500388197.7935,0.025022706642053416,True,False,1,21,0,0.045454545454545456,1.0,0.08695652173913043,0.045454545454545456,True,IRLS step tolerance,2,0.006477374990936369,0.03286929096793756,"[0.012528574012138773, 0.0005688052045936946, 0.0, -5.865752206764105e-10, 0.0, 0.0, 0.0, 0.0, -6.873174745561851, -0.4874886466789733, 0.0, 0.0, 0.0, -5.593055239962441e-15, 0.0, -828.2416192522514, 0.0, 0.0007255352088313103, 5.7026640693185926e-08, 0.0, 0.0, 0.0, -12749.673394023199, 0.0, -0.0048057276500577464, 0.0, 0.0, 0.0, 0.0, -115692853.28363784, 183377.79032802957, 0.0, 0.0, 0.0, -8.056043765354017e-08, 0.0, 13581992457.943127, -22168689.300036047, -15747.968959080057, 0.0, 0.0, 2.3396484026450428e-05, 0.0, 2078188951302.0298, -8370636942.4519205, 0.0, 22911.57241349652, 0.0, -0.01723133531222044]","[0, 1, 3, 8, 9, 13, 15, 17, 18, 22, 24, 29, 30, 34, 36, 37, 38, 41, 43, 44, 46, 48]"
burgers,256×256,0.0,0.0,0,WENDy L1=1e-06,1667042234273.5195,0.014984712275135537,True,False,1,13,0,0.07142857142857142,1.0,0.13333333333333333,0.07142857142857142,True,IRLS step tolerance,2,0.0034724579891189933,0.029864373966120183,"[0.001623134709335016, 0.00048702330610269246, 0.0, 0.0, 0.0, 0.0, -4.844589880105899e-19, 0.0, -2.704308363623866, -0.49250764386243223, -4.736344181487378e-06, 0.0, 0.0, 0.0, 0.0, -72.04345968943517, 0.0, 0.0, 0.0, 0.0, 8.161864171442537e-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.42674094924424e-12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2194359.9536462235, 0.0, 0.0, 0.0, 2.03977106640077e-06, 0.0, 833519765958.5902, -1500821253.082792, 0.0, 0.0, 0.0, 0.000709335004707918]","[0, 1, 6, 8, 9, 10, 15, 20, 27, 37, 41, 43, 44, 48]"
burgers,256×256,0.0,0.0,0,WENDy L1=0.0001,190919827.58948547,0.000688709218216621,True,False,1,4,0,0.2,1.0,0.3333333333333333,0.2,True,IRLS step tolerance,2,0.0014084579888731241,0.027800373965874314,"[0.023102081845054863, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.19122755051405393, -0.4996556453908917, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -95459913.79474273, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.385071082897279e-05]","[0, 8, 9, 36, 48]"
burgers,256×256,0.0,0.0,0,WENDy L1=0.01,39296809.6451758,0.04791141533377119,True,False,1,3,0,0.25,1.0,0.4,0.25,True,IRLS step tolerance,2,0.0013531669974327087,0.0277450829744339,"[1.4821649562391235, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4760442923331144, -1.0438948598535416e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -19648404.822587844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 9, 10, 37]"
burgers,256×256,0.0,0.0,0,WENDy-MLE HT,1.07207369243221,1.0,True,False,0,1,1,0.0,0.0,0.0,0.0,True,IRLS step tolerance,1,0.001160333980806172,0.027552249957807362,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.19322396461440355, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[26]
burgers,256×256,0.0,0.0,0,WENDy-MLE L1=1e-10,139350126459529.2,0.7269443651312699,True,False,1,28,0,0.034482758620689655,1.0,0.06666666666666667,0.034482758620689655,True,IRLS step tolerance,2,0.017351207963656634,0.043743123940657824,"[0.012077353443180361, -0.5846709355229871, 0.002110862938584071, 0.0, -3.369230201659462e-09, 0.0, 1.843017399601888e-15, 0.0, 32.31141251758943, -0.863472182565635, 0.0, 1.0029281818080747e-06, 0.0, -6.717042549815557e-13, 0.0, -86261.46553877034, 405.0383240611093, -0.444297177597704, 0.0, 0.0, 1.254797203000231e-10, 0.0, -11655833.74842118, 0.0, 26.03477517667854, 0.02671384739521705, 0.0, -4.11063936696351e-08, 0.0, -1543114469.2744474, 0.0, 3175.9508469803272, 0.0, 0.0, -1.6406203821121104e-06, 0.0, -1014064767005.8265, 2763502121.051982, -1445443.6988236497, 0.0, 0.0, -0.00030479306959376904, 0.0, 69662324567123.63, -864079024949.7891, 1430067567.8323412, 0.0, -893.5239281665598, 0.2575681575507682]","[0, 1, 2, 4, 6, 8, 9, 11, 13, 15, 16, 17, 20, 22, 24, 25, 27, 29, 31, 34, 36, 37, 38, 41, 43, 44, 45, 47, 48]"
burgers,256×256,0.0,0.0,0,WENDy-MLE L1=1e-08,4156500388197.7935,0.025022706642053416,True,False,1,21,0,0.045454545454545456,1.0,0.08695652173913043,0.045454545454545456,True,IRLS step tolerance,2,0.006596375023946166,0.032988291000947356,"[0.012528574012138773, 0.0005688052045936946, 0.0, -5.865752206764105e-10, 0.0, 0.0, 0.0, 0.0, -6.873174745561851, -0.4874886466789733, 0.0, 0.0, 0.0, -5.593055239962441e-15, 0.0, -828.2416192522514, 0.0, 0.0007255352088313103, 5.7026640693185926e-08, 0.0, 0.0, 0.0, -12749.673394023199, 0.0, -0.0048057276500577464, 0.0, 0.0, 0.0, 0.0, -115692853.28363784, 183377.79032802957, 0.0, 0.0, 0.0, -8.056043765354017e-08, 0.0, 13581992457.943127, -22168689.300036047, -15747.968959080057, 0.0, 0.0, 2.3396484026450428e-05, 0.0, 2078188951302.0298, -8370636942.4519205, 0.0, 22911.57241349652, 0.0, -0.01723133531222044]","[0, 1, 3, 8, 9, 13, 15, 17, 18, 22, 24, 29, 30, 34, 36, 37, 38, 41, 43, 44, 46, 48]"
